chunk_id,chunk_string,source,loc,parent_id,source_nodes,edges,path_type,path,is_specific,is_guideline,evidence,evidence_level
r_1,Age over 50 is an independent predisposing risk factor that increases susceptibility to vertebral fracture.,2,low back,Fracture,Age over 50,RISK_FACTOR_FOR,both,Osteoporosis,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_2,A recent history of trauma is a primary trigger event that indicates high suspicion for a vertebral fracture.,2,low back,Fracture,Recent trauma,TRIGGER_FOR,direct,-,yes,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_3,"Local bruising or abrasion can indicate recent trauma. In the context of recent, significant trauma, vertebral fracture should be considered as a possible serious pathology.",2,low back,Fracture,Bruising,SUGGESTIVE_OF,mediated,Recent trauma,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_4,Female sex is an independent pre-disposing risk factor that increases susceptibility to vertebral fracture.,2,low back,Fracture,Female sex,RISK_FACTOR_FOR,both,Osteoporosis,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_5,"Pain severity greater than 7/10 (on a 0–10 scale) has been reported in association with vertebral fracture. Severe pain alone is not specific for fracture, but used together with trauma history, age, and other red flags to guide triage urgency.",2,low back,Fracture,Severe pain,ASSOCIATED_WITH,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_6,Prolonged corticosteroid therapy (greater than 5 or 7.5 mg per day over a 3-month period) predisposes to vertebral fracture by weakening bone. It indicates higher suspicion for fracture when pain occurs in a patient with ongoing steroid exposure.,1,low back,Fracture,Corticosteroids,ASSOCIATED_WITH,mediated,Osteoporosis,yes,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_7,"Osteoporosis predisposes to vertebral fracture by reducing vertebral bone strength. It is a common mechanistic link between chronic risk factors (e.g. older age, prolonged steroids) and fragility-related spinal injury.",2,low back,Fracture,Osteoporosis,RISK_FACTOR_FOR,direct,-,yes,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_8,"Heavy or excessive alcohol use predisposes to vertebral insufficiency fracture by harming bone health and increasing falls. It raises concern for vertebral fracture, particularly with other fracture risk factors or in the context of trauma.",1,low back,Fracture,Alcohol,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_9,"Nutritional deficiencies caused by dietary restrictions, eating disorders, or conditions affecting intestinal absorption (e.g. Crohn's disease) affects bone health and is a risk factor for vertebral fracture.",1,low back,Fracture,Nutrient Deficiency,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_10,Vitamin D deficiency predisposes to vertebral fracture by weakening bone. Should be used in combination with other risk factors: isolated vitamin D deficiency is a weak stand-alone indicator.,1,low back,Fracture,Vitamin Deficiency,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_11,"Diabetes, especially when poorly controlled, is a risk factor for vertebral fracture due to reduced bone health. Risk will depend on if diabetes is present, how well it is controlled, and whether there are other osteoporosis-related risks (steroids, age, prior fracture). Diabetes alone does not confirm fracture—use it with trauma history, worsening pain, and other red flags to determine triage urgency.",1,low back,Fracture,Diabetes,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_12,"Rheumatoid arthritis is a risk factor for vertebral (osteoporotic) fracture. Patients may also have long-term corticosteroid use, which further increases fracture risk. Rheumatoid arthritis alone does not confirm fracture—use it with trauma history, worsening pain, and other red flags to determine triage urgency.",1,low back,Fracture,Rheumatoid arthritis,RISK_FACTOR_FOR,both,Corticosteroids,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_13,"Smoking increases the risk of vertebral fracture, particularly heavy smoking (more than 20 cigarettes per day). Tobacco exposure worsens bone health and is part of a broader risk-factor profile. Heavy smoking alone does not confirm fracture—use it with trauma history, worsening pain, and other red flags to determine triage urgency.",1,low back,Fracture,Smoking,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_14,Osteoarthritis may increase clinical concern for vertebral fracture in combination with other red flags; isolated osteoarthritis is a weak stand-alone indicator,2,low back,Fracture,Osteoarthritis,RISK_FACTOR_FOR,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
