source_nodes,askable,intent,fallback,synonyms
Bilat neuro sensory deficit,yes,"numbness, tingling, or loss of feeling in both legs, not just one side",Have you had any numbness or tingling in both of your legs?,numbness in both legs; tingling in both legs; both legs numb; pins and needles in both legs; loss of feeling in both legs
Bilat neuro motor deficit,yes,"weakness in both legs, including trouble walking or both legs giving way",Have you noticed any weakness in both of your legs?,weakness in both legs; both legs weak; both legs giving way; trouble walking from weakness in both legs
Saddle anaesthesia,yes,"numbness around the groin, buttocks, inner thighs, genitals, or anus",Have you noticed any numbness around the groin or saddle area?,saddle numbness; numbness in the saddle; perineal numbness
Bladder dysfunction,yes,"new trouble passing urine, emptying the bladder fully, or leaking urine","Have you had any new trouble with your bladder, such as leaking or not being able to empty fully?",can't empty bladder; urine leaking; urinary incontinence; new trouble peeing; can't hold urine
Bowel dysfunction,yes,"new constipation, loss of bowel control, or loss of feeling when passing stool","Have you had any new trouble with your bowels, such as constipation or loss of control?",loss of bowel control; bowel leaking; fecal incontinence; new constipation; can't feel bowel movements
Age over 50,no,,,
Recent trauma,yes,"a recent fall, accident, or other injury that could have hurt the back","Have you had a recent fall, accident, or other injury to your back?",recent fall; I fell; accident; injured my back; hurt it in a fall
Bruising,yes,"bruising, cuts, or scrapes over the painful area of the back",Is there any bruising or broken skin over the sore part of your back?,bruise on my back; black and blue; scrape on my back; abrasion; skin discoloured over the spine
Female sex,no,,,
Severe pain,yes,"pain that is severe, for example 7 or more out of 10, or described as unbearable","Would you say your pain is severe, for example 7 or more out of 10?",severe pain; unbearable pain; pain 8 out of 10; excruciating; the worst pain
Corticosteroids,yes,"ongoing or recent steroid tablet or injection treatment, especially for months at a time",Have you been taking steroid tablets or injections for weeks or months?,steroid tablets; prednisone; cortisone; steroid injections; on steroids
Osteoporosis,no,,,
Alcohol,yes,heavy or regular alcohol use,Do you drink alcohol regularly or heavily?,heavy drinking; I drink a lot; alcohol use; drink every day; problem drinking
Nutrient Deficiency,no,,,
Vitamin Deficiency,no,,,
Diabetes,yes,"a diagnosis of diabetes, including how well it is controlled if they mention it",Do you have diabetes?,diabetes; high blood sugar; type 2 diabetes; type 1 diabetes; diabetic
Rheumatoid arthritis,yes,"rheumatoid or other inflammatory arthritis, not ordinary wear-and-tear joint pain",Have you been diagnosed with rheumatoid arthritis or another inflammatory arthritis?,rheumatoid arthritis; inflammatory arthritis; RA; rheumatoid
Smoking,yes,"current or recent tobacco smoking, including how much if they mention it","Do you currently smoke, or have you smoked recently?",I smoke; cigarettes; smoker; tobacco; pack a day
Osteoarthritis,yes,a diagnosis of osteoarthritis or degenerative joint or spine changes,Have you been told you have osteoarthritis or degenerative changes in your spine?,osteoarthritis; wear and tear arthritis; degenerative disc; degenerative joint; OA
Neuro motor deficit,yes,"new weakness in a leg, foot drop, or poorer balance when walking","Have you noticed any new weakness in a leg, or trouble with your balance when walking?",weak leg; foot drop; leg giving way; poor balance; legs feel weak
