source_id,stem_hash,split,auto_red_flag_family,lexicon_terms,token_count,has_agentclinic_osce,question,answer,clinician_include,clinician_grid,clinician_notes
awinml/medqa:train:20,837640f46722ffde,train,ces,cauda_equina|saddle|back_pain,133,False,"A 69-year-old male presents to the emergency room with back pain. He has a history of personality disorder and metastatic prostate cancer and was not a candidate for surgical resection. He began chemotherapy but discontinued due to unremitting nausea. He denies any bowel or bladder incontinence. He has never had pain like this before and is demanding morphine. The nurse administers IV morphine and he feels more comfortable. Vital signs are stable. On physical examination you note tenderness to palpation along the lower spine, weakness in the bilateral lower extremities, left greater than right. Neurological examination is also notable for hyporeflexia in the knee and ankle jerks bilaterally. You conduct a rectal examination, which reveals saddle anesthesia. Regarding this patient, what is the most likely diagnosis and the appropriate next step in management?",The most likely diagnosis is cauda equina syndrome and steroids should be started prior to MRI,,,
awinml/medqa:train:89,ee73169e2a5f46fd,train,mechanical,back_pain,182,False,"A 53-year-old woman with hypertension and hyperlipidemia comes to the physician because of generalized reddening of her skin and itching for the past 2 weeks. Her symptoms occur every evening before bedtime and last for about 30 minutes. Three months ago, atorvastatin was stopped after she experienced progressively worsening neck and back pain. Statin therapy was reinitiated at lower doses 3 weeks ago but had to be stopped again after her musculoskeletal symptoms recurred. Her menses occur irregularly at 2–3 month intervals and last for 3–4 days. She has smoked one pack of cigarettes daily for the past 30 years. Her current medications include lisinopril and niacin. Her brother died of colonic adenocarcinoma, and her father died of small cell lung cancer. She is 169 cm (5 ft 6 in) tall and weighs 83 kg (183 lb); BMI is 29 kg/m2. Her vital signs are within normal limits. Physical examination shows no abnormalities. Serum lipid studies show:
Total cholesterol 247 mg/dL
HDL-cholesterol 39 mg/dL
LDL-cholesterol 172 mg/dL
Triglycerides 152 mg/dL
Which of the following is the most appropriate next step in management?""",Administer ibuprofen,,,
awinml/medqa:train:119,502fee3cf188d13a,train,mechanical,lumbar,213,False,"A 74-year-old female is brought to the emergency department because of a 2-week history of increasing weakness and chills. She also notes difficulty breathing for the last three days. Eight weeks ago, she underwent left hemicolectomy for adenocarcinoma of the colon. She subsequently developed a severe urinary tract infection, was treated in the intensive care unit for four days, and was discharged from the hospital three weeks ago. She has type 2 diabetes mellitus, osteoporosis with lumbar pain, hypertension, and atrial fibrillation. She has smoked one pack of cigarettes daily for 50 years. She does not drink alcohol and has never used illicit drugs. Current medications include warfarin, metformin, lisinopril, and aspirin. She appears lethargic and has a large conjunctival hemorrhage in her left eye. Her temperature is 39.3°C (102.7°F), pulse is 112/min, respirations are 25/min, and blood pressure is 126/79 mm Hg. Cardiac auscultation reveals a new holosystolic murmur over the apex. Abdominal examination shows mild, diffuse tenderness throughout the upper quadrants and a well-healed 12-cm paramedian scar. There are multiple tender nodules on the palmar surface of her fingertips. Funduscopic examination shows retinal hemorrhages with pale centers. An ECG shows atrial fibrillation and right bundle branch block. Which of the following is the most likely underlying etiology of this patient's condition?",Enterococcus faecalis infection,,,
awinml/medqa:train:122,87d821a6ae117c33,train,mechanical,lumbar|back_pain,122,False,"A 71-year-old man comes to the emergency department because of a 2-month history of severe muscle cramps and back pain. He says that he is homeless and has not visited a physician in the past 20 years. He is 183 cm (6 ft 0 in) tall and weighs 62 kg (137 lb); BMI is 18.5 kg/m2. His blood pressure is 154/88 mm Hg. Physical examination shows pallor, multiple cutaneous excoriations, and decreased sensation over the lower extremities. Serum studies show:
Calcium 7.2 mg/dL
Phosphorus 5.1 mg/dL
Glucose 221 mg/dL
Creatinine 4.5 mg/dL
An x-ray of the spine shows alternating sclerotic and radiolucent bands in the lumbar and thoracic vertebral bodies. Which of the following is the most likely explanation for these findings?""",Secondary hyperparathyroidism,,,
awinml/medqa:train:125,44ef2323bf29d5e0,train,trauma_fracture,low_back,106,False,"A 22-year-old man is rushed to the emergency department after a motor vehicle accident. The patient states that he feels weakness and numbness in both of his legs. He also reports pain in his lower back. His airway, breathing, and circulation is intact, and he is conversational. Neurologic exam is significant for bilateral lower extremity flaccid paralysis and impaired pain and temperature sensation up to T10-T11 with normal vibration sense. A computerized tomography scan of the spine is performed which shows a vertebral burst fracture of the vertebral body at the level of T11. Which of the following findings is most likely present in this patient?",Preserved fine touch,,,
awinml/medqa:train:147,d3015ecdefd0fdc2,train,mechanical,back_pain,69,False,"A 60-year-old man comes to the physician because of flank pain, rash, and blood-tinged urine for 1 day. Two months ago, he was started on hydrochlorothiazide for hypertension. He takes acetaminophen for back pain. Examination shows a generalized, diffuse maculopapular rash. Serum studies show a creatinine concentration of 3.0 mg/dL. Renal ultrasonography shows no abnormalities. Which of the following findings is most likely to be observed in this patient?",Urinary eosinophils,,,
awinml/medqa:train:168,cac19c82ab82def4,train,mechanical,confounder_dvt,115,False,"A 24-year-old woman presents to the labor and delivery floor in active labor at 40 weeks gestation. She has a prolonged course but ultimately vaginally delivers an 11 pound boy. On post operative day 2, she is noted to have uterine tenderness and decreased bowel sounds. She states she has been urinating more frequently as well. Her temperature is 102°F (38.9°C), blood pressure is 118/78 mmHg, pulse is 111/min, respirations are 17/min, and oxygen saturation is 98% on room air. Physical exam is notable for a non-distended abdomen and a tender uterus. Pulmonary exam reveals minor bibasilar crackles. Initial laboratory studies and a urinalysis are pending. Which of the following is the most likely diagnosis?",Endometritis,,,
awinml/medqa:train:176,3fdfe66cbf6024d4,train,mechanical,confounder_dvt,127,False,"A 60-year-old male presents for a routine health check-up. The patient complains of reduced exercise tolerance for the past 2 years. Also, in the past year, he has noticed chest pain after climbing the stairs in his home. He has no significant past medical history or current medications. The patient reports a 45-pack-year smoking history. The vital signs include temperature 37.0°C (98.6°F), blood pressure 160/100 mm Hg, pulse 72/min, respiratory rate 15/min, and oxygen saturation 99% on room air. His body mass index (BMI) is 34 kg/m2. Physical examination is unremarkable. Laboratory studies show:
Serum total cholesterol 265 mg/dL
HDL 22 mg/dL
LDL 130 mg/dL
Triglycerides 175 mg/dL 
HDL: high-density lipoprotein; LDL: low-density lipoprotein
Which of the following vascular pathologies is most likely present in this patient?",Atherosclerosis,,,
awinml/medqa:train:177,e66135fe7daa94b7,train,trauma_fracture,confounder_aaa,105,False,"An 88-year-old woman with no significant medical history is brought to the emergency room by her daughter after a fall, where the woman lightly hit her head against a wall. The patient is lucid and complains of a mild headache. The daughter indicates that her mother did not lose consciousness after the fall. On exam, there are no focal neurological deficits, but you decide to perform a CT scan to be sure there is no intracranial bleeding. The CT scan are within normal limits and head MRI is preformed (shown). Which of the following conditions has the most similar risk factor to this patient's condition?",Thoracic aortic aneurysm,,,
awinml/medqa:train:220,89cba4e85b227c23,train,mechanical,low_back,199,False,"A 45-year-old man presents to the emergency department with fever and easy bruising for 3 days. He has had fatigue for 2 weeks. He has no past medical history, and takes no medications. Excessive bleeding from intravenous lines was reported by the nurse. He does not smoke or drink alcohol. The temperature is 38.2°C (102.6°F), pulse is 105/min, respiration rate is 18/min, and blood pressure is 110/70 mm Hg. On physical examination, he has multiple purpura on the lower extremities and several ecchymoses on the lower back and buttocks. Petechiae are noticed on the soft palate. Cervical painless lymphadenopathy is detected on both sides. The examination of the lungs, heart, and abdomen shows no other abnormalities. The laboratory test results are as follows:
Hemoglobin 8 g/dL
Mean corpuscular volume 90 μm3
Leukocyte count 18,000/mm3
Platelet count 10,000/mm3
Partial thromboplastin time (activated) 60 seconds
Prothrombin time 25 seconds (INR: 2.2)
Fibrin split products Positive
Lactate dehydrogenase, serum 1,000 U/L
A Giemsa-stained peripheral blood smear is shown by the image. Intravenous fluids, blood products, and antibiotics are given to the patient. Based on the most likely diagnosis, which of the following is the best therapy for this patient at this time?",All-trans retinoic acid (ATRA),,,
