chunk_id,chunk_string,source,loc,parent_id,source_nodes,edges,path_type,path,is_specific,is_guideline,evidence,evidence_level
r_1,"Clinical concept: age over 50 is an independent predisposing risk factor that increases susceptibility to vertebral fracture (Age over 50; RISK_FACTOR_FOR;Fracture)
Synonyms and patient phrases: age over 50, over 50, older than 50, elderly, aged 51, aged 60, my fifties, I am over 50, older adult, middle-aged and older, age, over, independent, predisposing, risk, factor, increases, susceptibility, fracture
Co-occurring red flags: Recent trauma, Bruising, Female sex, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency, Diabetes

Age over 50 is an independent predisposing risk factor that increases susceptibility to vertebral fracture.",2,low back,Fracture,Age over 50,RISK_FACTOR_FOR,both,Osteoporosis,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_2,"Clinical concept: a recent history of trauma is a primary trigger event that indicates high suspicion for a vertebral fracture (Recent trauma; TRIGGER_FOR;Fracture)
Synonyms and patient phrases: trauma, recent trauma, history of trauma, injury, fall, accident, blunt trauma, after a fall, fell yesterday, had an accident, injured, landed, recent, history, primary, trigger, event, indicates, high, suspicion, fracture
Co-occurring red flags: Age over 50, Bruising, Female sex, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency, Diabetes

A recent history of trauma is a primary trigger event that indicates high suspicion for a vertebral fracture.",2,low back,Fracture,Recent trauma,TRIGGER_FOR,direct,-,yes,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_3,"Clinical concept: local bruising or abrasion can indicate recent trauma (Bruising; SUGGESTIVE_OF;Fracture)
Synonyms and patient phrases: bruise, bruising, ecchymosis, abrasion, contusion, skin abrasion, black and blue, mild bruising, bruised, scrape, hit, landing on hard surface, local, can, indicate, recent, trauma, fracture, should
Co-occurring red flags: Age over 50, Recent trauma, Female sex, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency, Diabetes

Local bruising or abrasion can indicate recent trauma. In the context of recent, significant trauma, vertebral fracture should be considered as a possible serious pathology.",2,low back,Fracture,Bruising,SUGGESTIVE_OF,mediated,Recent trauma,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_4,"Clinical concept: female sex is an independent pre-disposing risk factor that increases susceptibility to vertebral fracture (Female sex; RISK_FACTOR_FOR;Fracture)
Synonyms and patient phrases: female, woman, female sex, biological female, I am a woman, female patient, sex, independent, pre-disposing, risk, factor, increases, susceptibility, fracture
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency, Diabetes

Female sex is an independent pre-disposing risk factor that increases susceptibility to vertebral fracture.",2,low back,Fracture,Female sex,RISK_FACTOR_FOR,both,Osteoporosis,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_5,"Clinical concept: pain severity greater than 7/10 (on a 0–10 scale) has been reported in association with vertebral fracture (Severe pain; ASSOCIATED_WITH;Fracture)
Synonyms and patient phrases: severe pain, pain 7/10, pain 8/10, pain 9/10, pain 10/10, greater than 7/10, 7 out of 10, 8 out of 10, worst pain, severe, pain is an 8, 10 out of 10 pain, pain, severity, greater, than, scale, been, fracture, specific, but, together, trauma, history
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency, Diabetes

Pain severity greater than 7/10 (on a 0–10 scale) has been reported in association with vertebral fracture. Severe pain alone is not specific for fracture, but used together with trauma history, age, and other red flags to guide triage urgency.",2,low back,Fracture,Severe pain,ASSOCIATED_WITH,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_6,"Clinical concept: prolonged corticosteroid therapy (greater than 5 or 7 (Corticosteroids; ASSOCIATED_WITH;Fracture)
Synonyms and patient phrases: corticosteroids, steroids, corticosteroid, prednisone, long-term steroids, steroid therapy, taking prednisone, prolonged, therapy, greater, than, per, day, over, month, period, predisposes, fracture, weakening, bone, indicates, higher, suspicion, pain
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Severe pain, Osteoporosis, Alcohol, Nutrient Deficiency, Vitamin Deficiency, Diabetes

Prolonged corticosteroid therapy (greater than 5 or 7.5 mg per day over a 3-month period) predisposes to vertebral fracture by weakening bone. It indicates higher suspicion for fracture when pain occurs in a patient with ongoing steroid exposure.",1,low back,Fracture,Corticosteroids,ASSOCIATED_WITH,mediated,Osteoporosis,yes,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_7,"Clinical concept: osteoporosis predisposes to vertebral fracture by reducing vertebral bone strength (Osteoporosis; RISK_FACTOR_FOR;Fracture)
Synonyms and patient phrases: osteoporosis, osteoporotic, weak bones, bone density loss, osteoporosis diagnosis, fragility fracture risk, predisposes, fracture, reducing, bone, strength, common, mechanistic, link, between, chronic, risk, factors, older, age, prolonged, steroids, fragility-related, injury
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Severe pain, Corticosteroids, Alcohol, Nutrient Deficiency, Vitamin Deficiency, Diabetes

Osteoporosis predisposes to vertebral fracture by reducing vertebral bone strength. It is a common mechanistic link between chronic risk factors (e.g. older age, prolonged steroids) and fragility-related spinal injury.",2,low back,Fracture,Osteoporosis,RISK_FACTOR_FOR,direct,-,yes,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_8,"Clinical concept: heavy or excessive alcohol use predisposes to vertebral insufficiency fracture by harming bone health and increasing falls (Alcohol; RISK_FACTOR_FOR;Fracture)
Synonyms and patient phrases: alcohol, alcoholic, heavy drinking, excessive alcohol, alcohol use disorder, I drink heavily, heavy, excessive, use, predisposes, insufficiency, fracture, harming, bone, health, increasing, falls, raises, concern, particularly, risk, factors, trauma
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Severe pain, Corticosteroids, Osteoporosis, Nutrient Deficiency, Vitamin Deficiency, Diabetes

Heavy or excessive alcohol use predisposes to vertebral insufficiency fracture by harming bone health and increasing falls. It raises concern for vertebral fracture, particularly with other fracture risk factors or in the context of trauma.",1,low back,Fracture,Alcohol,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_9,"Clinical concept: nutritional deficiencies caused by dietary restrictions, eating disorders, or conditions affecting intestinal absorption (e (Nutrient Deficiency; RISK_FACTOR_FOR;Fracture)
Synonyms and patient phrases: malnutrition, nutrient deficiency, poor nutrition, eating disorder, not eating well, restricted diet, nutritional, deficiencies, caused, dietary, restrictions, eating, disorders, conditions, affecting, intestinal, absorption, crohn, disease, affects, bone, health, risk, factor
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Vitamin Deficiency, Diabetes

Nutritional deficiencies caused by dietary restrictions, eating disorders, or conditions affecting intestinal absorption (e.g. Crohn's disease) affects bone health and is a risk factor for vertebral fracture.",1,low back,Fracture,Nutrient Deficiency,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_10,"Clinical concept: vitamin D deficiency predisposes to vertebral fracture by weakening bone (Vitamin Deficiency; RISK_FACTOR_FOR;Fracture)
Synonyms and patient phrases: vitamin D deficiency, vitamin D, vitamin deficiency, vitamin, deficiency, predisposes, fracture, weakening, bone, should, combination, risk, factors, isolated, weak, stand-alone, indicator
Co-occurring red flags: Age over 50, Recent trauma, Bruising, Female sex, Severe pain, Corticosteroids, Osteoporosis, Alcohol, Nutrient Deficiency, Diabetes

Vitamin D deficiency predisposes to vertebral fracture by weakening bone. Should be used in combination with other risk factors: isolated vitamin D deficiency is a weak stand-alone indicator.",1,low back,Fracture,Vitamin Deficiency,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
