Level 1 construct,Level 2 construct,Level 3 construct,Yes/No Question (Rephrased from Original Questions)
Design and Operational Effectiveness,Accessibility,Assessibility assurance,Are accessibility guidelines applied?
Design and Operational Effectiveness,Accessibility,User Experience,Do the model's communication channels enhance user access and engagement?
Design and Operational Effectiveness,Accessibility,User Experience,Does the chatbot engage users well?
Design and Operational Effectiveness,Accessibility,User Experience,Is the retention rate tracked?
Design and Operational Effectiveness,Accessibility,User Experience,Is user satisfaction assessed?
Design and Operational Effectiveness,Accessibility,User Experience,Are users satisfied with the chatbot’s performance?
Design and Operational Effectiveness,Accessibility,User Experience,Are users satisfied with the information provided?
Design and Operational Effectiveness,Accessibility,User Experience,Are users satisfied with the interaction provided?
Design and Operational Effectiveness,Accessibility,User Experience,Are users satisfied with the system?
Design and Operational Effectiveness,Accessibility,User Experience,Do users rate their in-app experience positively?
Design and Operational Effectiveness,Accessibility,User Experience,Do users trust the information provided by the agent?
Design and Operational Effectiveness,Accessibility,User Experience,Does the agent impact the overall user experience?
Design and Operational Effectiveness,Accessibility,User Experience,Does the agent provide adequate user guidance?
Design and Operational Effectiveness,Accessibility,User Experience,Does the agent's embodiment affect user engagement?
Design and Operational Effectiveness,Accessibility,User Experience,Does the agent's embodiment affect user interaction ?
Design and Operational Effectiveness,Accessibility,User Experience,Does the agent's personality align with user needs?
Design and Operational Effectiveness,Accessibility,User Experience,Does the chatbot respect users’ values and choices?
Design and Operational Effectiveness,Accessibility,User Experience,Does the user feel the CA’s responses are accurate?
Design and Operational Effectiveness,Accessibility,User Experience,Does the user think the CA understands them?
Design and Operational Effectiveness,Accessibility,User Experience,Is the agent well adopted by users initially?
Design and Operational Effectiveness,Accessibility,User Experience,Is the chatbot user-friendly?
Design and Operational Effectiveness,Accessibility,User Experience,Is the information engaging?
Design and Operational Effectiveness,Accessibility,User Experience,Is the information pleasant?
Design and Operational Effectiveness,Accessibility,User Experience,Is the information practical for the user?
Design and Operational Effectiveness,Accessibility,User Experience,Is the information suitable for the user's context and needs?
Design and Operational Effectiveness,Accessibility,User Experience,Is the information useful for the user?
Design and Operational Effectiveness,Accessibility,User Experience,Is the language used by the agent appropriate?
Design and Operational Effectiveness,Accessibility,User Interface Design,Are users involved in the design and improvement of the agent?
Design and Operational Effectiveness,Accessibility,User Interface Design,Can the text be resized?
Design and Operational Effectiveness,Accessibility,User Interface Design,Does the user like the background color?
Design and Operational Effectiveness,Accessibility,User Interface Design,Does the user like the button color?
Design and Operational Effectiveness,Accessibility,User Interface Design,Does the user like the button shape?
Design and Operational Effectiveness,Accessibility,User Interface Design,Is the font size appropriate?
Design and Operational Effectiveness,Accessibility,User Interface Design,Is the font type of the CA readable?
Design and Operational Effectiveness,Accessibility,User Interface Design,Is the text and background color contrast at least 4.5:1?
Design and Operational Effectiveness,Accessibility,User Interface Design,Is the user interface well-designed?
Design and Operational Effectiveness,Accessibility,User literacy,Can users with varying health knowledge understand the chatbot’s responses?
Design and Operational Effectiveness,Accessibility,User literacy,Do users have the agent literacy needed?
Design and Operational Effectiveness,Accessibility,User literacy,Does the chatbot's language suit the target user group?
Design and Operational Effectiveness,Accessibility,User literacy,Does the language support cater to diverse user needs?
Design and Operational Effectiveness,Accessibility,User literacy,Is the required health literacy level for using the health CA appropriate?
Design and Operational Effectiveness,Accessibility,Versatile access,Do the input and output choices affect usability and accessibility?
Design and Operational Effectiveness,Accessibility,Versatile access,Does device availability affect user interaction with the agent?
Design and Operational Effectiveness,Accessibility,Versatile access,Does internet connectivity requirement affect the AI's usability in different environments?
Design and Operational Effectiveness,Accessibility,Versatile access,Does the agent require internet access to function?
Design and Operational Effectiveness,Accessibility,Versatile access,"Does the chatbot adapt its functionality (e.g., free or paid versions)?"
Design and Operational Effectiveness,Accessibility,Versatile access,Does the health CA provide alternatives for written input and output?
Design and Operational Effectiveness,Accessibility ,User Experience,Does the CA provide appropriate responses to users' questions?
Design and Operational Effectiveness,Assessibility,Versatile access,Does the agent support single or multiple languages?
Design and Operational Effectiveness,Cost-Effectiveness,Comparative effectiveness,Does the AI system improve clinical outcomes compared to traditional methods?
Design and Operational Effectiveness,Cost-Effectiveness,Economic Viability,Are there effective methods for conducting economic evaluations of CAs at each development stage?
Design and Operational Effectiveness,Cost-Effectiveness,Economic Viability,Can the cost-effectiveness of CAs be evaluated for economic viability beyond clinical trials?
Design and Operational Effectiveness,Cost-Effectiveness,Economic Viability,Does the overall cost of implementing the system impact health outcomes?
Design and Operational Effectiveness,Cost-Effectiveness,Simplicity/Ease of Use,Are the icons easy to understand?
Design and Operational Effectiveness,Cost-Effectiveness,Simplicity/Ease of Use,Can users learn to use the system quickly and effectively?
Design and Operational Effectiveness,Cost-Effectiveness,Simplicity/Ease of Use,Is the chatbot easy to use?
Design and Operational Effectiveness,Cost-Effectiveness,Simplicity/Ease of Use,Is the user interface easy to use?
Design and Operational Effectiveness,Cost-Effectiveness,Task efficiency,Are the CA’s responses easy to understand?
Design and Operational Effectiveness,Cost-Effectiveness,Task efficiency,Is communication with the CA clear?
Design and Operational Effectiveness,Cost-Effectiveness,Task efficiency,Is the readability level of the health CA content appropriate?
