chunk_id,chunk_string,source,loc,parent_id,source_nodes,edges,path_type,path,is_specific,is_guideline,evidence,evidence_level
r_67,"Movement-related pain that changes with bending, twisting, sitting, standing, or activity—rather than remaining constant and non-mechanical—is the core clinical pattern of a non-specific mechanical cause. Use this pattern with other mechanical features; movement-related pain alone does not exclude serious pathology when strong red-flag clusters are present.",9,low back,Non-specific Mechanical Cause,Movement-related pain,SUGGESTIVE_OF,direct,-,no,no,title: Low Back Pain | author: Chiodo Anthony | year: 2020 | authority: University of Michigan | doi: https://www.ncbi.nlm.nih.gov/books/NBK572334/,SRMA
r_68,Pain that eases with rest or a change of position is typical of non-specific mechanical low back pain and contrasts with constant progressive pain that does not improve with position or activity (a non-mechanical red-flag profile for malignancy or infection). Rest relief alone is not diagnostic—interpret alongside absence of systemic and neurologic red flags.,9,low back,Non-specific Mechanical Cause,Pain relieved by rest,SUGGESTIVE_OF,direct,-,no,no,title: Low Back Pain | author: Chiodo Anthony | year: 2020 | authority: University of Michigan | doi: https://www.ncbi.nlm.nih.gov/books/NBK572334/,SRMA
r_69,"Acute or subacute onset after ordinary loading—lifting, bending, twisting, gardening, or similar activity—without major trauma is a common trigger for non-specific mechanical low back pain. Distinguish from Recent trauma with high-energy impact or fall, which raises fracture concern. Activity-related onset supports a mechanical cause when neurologic, infectious, and malignancy red flags are absent.",9,low back,Non-specific Mechanical Cause,Activity-related onset,TRIGGER_FOR,mediated,Mechanical loading,no,no,title: Low Back Pain | author: Chiodo Anthony | year: 2020 | authority: University of Michigan | doi: https://www.ncbi.nlm.nih.gov/books/NBK572334/,SRMA
r_70,"Mechanical loading of spinal soft tissues (discs, facet joints, muscles, ligaments) is the conceptual pathway through which everyday activity and posture provoke non-specific mechanical low back pain. It is the common mediator linking activity-related onset, sitting intolerance, and load-sensitive symptoms to a non-specific mechanical cause rather than to serious spinal pathology.",9,low back,Non-specific Mechanical Cause,Mechanical loading,SUGGESTIVE_OF,direct,-,no,no,title: Low Back Pain | author: Chiodo Anthony | year: 2020 | authority: University of Michigan | doi: https://www.ncbi.nlm.nih.gov/books/NBK572334/,SRMA
r_71,A history of similar prior low back pain episodes that settled with time or simple care raises the likelihood that the current episode is again a non-specific mechanical cause. Recurrent mechanical episodes are common; prior episodes alone do not exclude a new serious pathology if unfamiliar features or red-flag clusters appear.,10,low back,Non-specific Mechanical Cause,Prior similar episodes,RISK_FACTOR_FOR,direct,-,no,no,title: Recurrence of low back pain is common: a prospective inception cohort study | author:  da Silva Tatiane | year: 2019 | authority: Journal of Physiotherapy | doi: https://doi.org/10.1016/j.jphys.2019.04.010,OBS
r_72,Reduced lumbar range of motion due to pain or muscle spasm is common in non-specific mechanical low back pain and in many serious spinal conditions. Limited motion supports a mechanical musculoskeletal presentation when pain is movement-related and systemic or cauda equina features are absent; do not use stiffness alone to rule out serious pathology.,11,low back,Non-specific Mechanical Cause,Lumbar stiffness,ASSOCIATED_WITH,direct,-,no,no,"title: Restriction in lateral bending range of motion, lumbar lordosis, and hamstring flexibility predicts the development of low back pain: a systematic review of prospective cohort studies | author:  Sadler  Sean | year: 2017 | authority: BMC Musculoskeletal Disorders | https://doi.org/10.1186/s12891-017-1534-0",SRMA
r_73,"Pain severity that fluctuates through the day—waxing and waning with activity, posture, or rest—favours a non-specific mechanical cause over constant, steadily progressive pain (a red-flag profile for malignancy or infection). Fluctuating pain is common and not specific; interpret with other mechanical features and red-flag screening.",8,low back,Non-specific Mechanical Cause,Fluctuating pain,SUGGESTIVE_OF,direct,-,no,no,title: Nonspecific Low Back Pain | author: Chiarotto Alessandro | year: 2022 | authority: New England Journal of Medicine | doi: https://doi.org/10.1056/NEJMcp2032396,SRMA
r_74,"Early improvement with conservative care (activity modification, simple analgesia, physiotherapy) supports a non-specific mechanical cause and aligns with frameworks that begin a trial of therapy when concerning red-flag features are few or absent. Lack of expected improvement (refractory pain) instead raises suspicion for serious pathology and should not be attributed to mechanical causes alone.",1,low back,Non-specific Mechanical Cause,Improves with conservative care,SUGGESTIVE_OF,direct,-,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_75,Pain aggravated by prolonged sitting is a common load-sensitive mechanical pattern in non-specific low back pain. Sitting intolerance raises baseline concern for a mechanical cause when other red flags are absent; combine with movement-related variation and relief by position change rather than treating sitting aggravation in isolation.,12,low back,Non-specific Mechanical Cause,Prolonged sitting aggravates,SUGGESTIVE_OF,mediated,Mechanical loading,no,no,"title: Evaluation of Nonspecific Low Back Pain Using a New Detailed Visual Analogue Scale for Patients in Motion, Standing, and Sitting: Characterizing Nonspecific Low Back Pain in Elderly Patients | author: Aoki Yasuchika | year: 2012 | authority: Pain Research and Treatment | doi: https://doi.org/10.1155/2012/680496",OBS
r_76,"Pain that eases after changing posture (for example lying on the side, standing after sitting, or gentle movement) is characteristic of non-specific mechanical low back pain and contrasts with pain that never settles with position. Position-change relief supports a mechanical cause alongside fluctuating, movement-related symptoms.",14,low back,Non-specific Mechanical Cause,Position change relief,SUGGESTIVE_OF,direct,-,no,no,title: Does Movement Change When Low Back Pain Changes? A Systematic Review | author: Wernli Kevin | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://www.jospt.org/doi/10.2519/jospt.2020.9635,SRMA
