chunk_id,chunk_string,source,loc,parent_id,source_nodes,edges,path_type,path,is_specific,is_guideline,evidence,evidence_level
r_1,Age over 50 RISK_FACTOR_FOR Fracture,2,low back,Fracture,Age over 50,RISK_FACTOR_FOR,both,Osteoporosis,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_2,Recent trauma TRIGGER_FOR Fracture,2,low back,Fracture,Recent trauma,TRIGGER_FOR,direct,-,yes,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_3,Bruising SUGGESTIVE_OF Fracture,2,low back,Fracture,Bruising,SUGGESTIVE_OF,mediated,Recent trauma,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_4,Female sex RISK_FACTOR_FOR Fracture,2,low back,Fracture,Female sex,RISK_FACTOR_FOR,both,Osteoporosis,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_5,Severe pain ASSOCIATED_WITH Fracture,2,low back,Fracture,Severe pain,ASSOCIATED_WITH,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_6,Corticosteroids ASSOCIATED_WITH Fracture,1,low back,Fracture,Corticosteroids,ASSOCIATED_WITH,mediated,Osteoporosis,yes,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_7,Osteoporosis RISK_FACTOR_FOR Fracture,2,low back,Fracture,Osteoporosis,RISK_FACTOR_FOR,direct,-,yes,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_8,Alcohol RISK_FACTOR_FOR Fracture,1,low back,Fracture,Alcohol,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_9,Nutrient Deficiency RISK_FACTOR_FOR Fracture,1,low back,Fracture,Nutrient Deficiency,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_10,Vitamin Deficiency RISK_FACTOR_FOR Fracture,1,low back,Fracture,Vitamin Deficiency,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_11,Diabetes RISK_FACTOR_FOR Fracture,1,low back,Fracture,Diabetes,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_12,Rheumatoid arthritis RISK_FACTOR_FOR Fracture,1,low back,Fracture,Rheumatoid arthritis,RISK_FACTOR_FOR,both,Corticosteroids,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_13,Smoking RISK_FACTOR_FOR Fracture,1,low back,Fracture,Smoking,RISK_FACTOR_FOR,mediated,Osteoporosis,no,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_14,Osteoarthritis RISK_FACTOR_FOR Fracture,2,low back,Fracture,Osteoarthritis,RISK_FACTOR_FOR,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_15,Neuro motor deficit SUGGESTIVE_OF Fracture,2,low back,Fracture,Neuro motor deficit,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_16,Point tenderness SUGGESTIVE_OF Fracture,3,low back,Fracture,Point tenderness,SUGGESTIVE_OF,direct,-,yes,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_17,Pain weight-bearing SUGGESTIVE_OF Fracture,3,low back,Fracture,Pain weight-bearing,SUGGESTIVE_OF,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_18,Neuro sensory deficit SUGGESTIVE_OF Fracture,2,low back,Fracture,Neuro sensory deficit,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_19,Previous cancer RISK_FACTOR_FOR Malignancy,1,low back,Malignancy,Previous cancer,RISK_FACTOR_FOR,direct,-,yes,no,title: International Framework for Red Flags for Potential Serious Spinal Pathologies | author: Finucane L | year: 2020 | authority: Journal of Orthopaedic and Sports Physical Therapy | doi: https://doi.org/10.2519/jospt.2020.9971,SRMA
r_20,Age over 50 RISK_FACTOR_FOR Malignancy,2,low back,Malignancy,Age over 50,RISK_FACTOR_FOR,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_21,Unexplained weight loss SUGGESTIVE_OF Malignancy,2,low back,Malignancy,Unexplained weight loss,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_22,Refractory pain SUGGESTIVE_OF Malignancy,2,low back,Malignancy,Refractory pain,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_23,Constant pain SUGGESTIVE_OF Malignancy,2,low back,Malignancy,Constant pain,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_24,Immunosuppression RISK_FACTOR_FOR Malignancy,3,low back,Malignancy,Immunosuppression,RISK_FACTOR_FOR,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_25,Severe pain ASSOCIATED_WITH Malignancy,3,low back,Malignancy,Severe pain,ASSOCIATED_WITH,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_26,Night pain SUGGESTIVE_OF Malignancy,3,low back,Malignancy,Night pain,SUGGESTIVE_OF,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_27,Smoking RISK_FACTOR_FOR Malignancy,3,low back,Malignancy,Smoking,RISK_FACTOR_FOR,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_28,Neuro motor deficit SUGGESTIVE_OF Malignancy,2,low back,Malignancy,Neuro motor deficit,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_29,Neuro sensory deficit SUGGESTIVE_OF Malignancy,2,low back,Malignancy,Neuro sensory deficit,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_30,Unexplained weight loss SUGGESTIVE_OF Infection,2,low back,Infection,Unexplained weight loss,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_31,Fever SUGGESTIVE_OF Infection,2,low back,Infection,Fever,SUGGESTIVE_OF,direct,-,yes,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_32,Chills SUGGESTIVE_OF Infection,2,low back,Infection,Chills,SUGGESTIVE_OF,direct,-,yes,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_33,Night sweats SUGGESTIVE_OF Infection,2,low back,Infection,Night sweats,SUGGESTIVE_OF,direct,-,yes,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_34,Age over 50 RISK_FACTOR_FOR Infection,3,low back,Infection,Age over 50,RISK_FACTOR_FOR,mediated,Immunosuppresion,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_35,IV drug user RISK_FACTOR_FOR Infection,3,low back,Infection,IV drug user,RISK_FACTOR_FOR,direct,-,yes,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_36,Immunosuppression RISK_FACTOR_FOR Infection,3,low back,Infection,Immunosuppression,RISK_FACTOR_FOR,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_37,Constant pain SUGGESTIVE_OF Infection,2,low back,Infection,Constant pain,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_38,Night pain SUGGESTIVE_OF Infection,2,low back,Infection,Night pain,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_39,Severe pain SUGGESTIVE_OF Infection,3,low back,Infection,Severe pain,SUGGESTIVE_OF,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_40,Neuro motor deficit SUGGESTIVE_OF Infection,2,low back,Infection,Neuro motor deficit,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_41,Neuro sensory deficit SUGGESTIVE_OF Infection,2,low back,Infection,Neuro sensory deficit,SUGGESTIVE_OF,direct,-,no,no,title: The diagnostic value of Red Flags in thoracolumbar pain: a systematic review | author: Maselli F | year: 2022 | authority: Disability and Rehabilitation | doi: https://doi.org/10.1080/09638288.2020.1804626,SRMA
r_42,Bilat neuro motor deficit SUGGESTIVE_OF CES,3,low back,CES,Bilat neuro motor deficit,SUGGESTIVE_OF,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
r_43,Bilat neuro sensory deficit SUGGESTIVE_OF CES,3,low back,CES,Bilat neuro sensory deficit,SUGGESTIVE_OF,direct,-,no,no,title: The use of red flags in screening patients in physiotherapy: narrative review. | author: Maselli F | year: 2019 | authority: University of Genova | doi: https://hdl.handle.net/20.500.14242/101517,SRMA
