source_id,title,author,year,authority,doi,evidence_level
1,International Framework for Red Flags for Potential Serious Spinal Pathologies,Finucane L,2020,Journal of Orthopaedic and Sports Physical Therapy,https://doi.org/10.2519/jospt.2020.9971,SRMA
2,The diagnostic value of Red Flags in thoracolumbar pain: a systematic review,Maselli F,2022,Disability and Rehabilitation,https://doi.org/10.1080/09638288.2020.1804626,SRMA
3,The use of red flags in screening patients in physiotherapy: narrative review.,Maselli F,2019,University of Genova,https://hdl.handle.net/20.500.14242/101517,SRMA
4,The Global and Regional Prevalence of Abdominal Aortic Aneurysms: A Systematic Review and Modeling Analysis,"Song, Peige",2023,Annals of Surgery,https://doi.org/10.1097/SLA.0000000000005716,SRMA
5,Patients with inferior vena cava thrombosis frequently present with lower back pain and bilateral lower-extremity deep vein thrombosis,"Kraft, Christiane",2013,European Journal of Vascular Medicine,https://doi.org/10.1024/0301-1526/a000288,OBS
6,Diagnosis of Venous Thromboembolism,"Canas, Alicia",2025,Medical Clinics,https://10.1016/j.mcna.2025.01.006,SRMA
7,Non-specific low back pain,"Maher, Chris",2017,Lancet,https://doi.org/10.1016/s0140-6736(16)30970-9,SRMA
8,Nonspecific Low Back Pain,"Chiarotto, Alessandro",2022,New England Journal of Medicine,https://doi.org/10.1056/nejmcp2032396,SRMA
9,Low Back Pain,"Chiodo, Anthony",2020,University of Michigan,https://www.ncbi.nlm.nih.gov/books/NBK572334/,SRMA
10,Recurrence of low back pain is common: a prospective inception cohort study,"da Silva, Tatiane",2019,Journal of Physiotherapy,https://doi.org/10.1016/j.jphys.2019.04.010,OBS
11,"Restriction in lateral bending range of motion, lumbar lordosis, and hamstring flexibility predicts the development of low back pain: a systematic review of prospective cohort studies","Sadler, Sean",2017,BMC Musculoskeletal Disorders,https://doi.org/10.1186/s12891-017-1534-0,SRMA
12,"Evaluation of Nonspecific Low Back Pain Using a New Detailed Visual Analogue Scale for Patients in Motion, Standing, and Sitting: Characterizing Nonspecific Low Back Pain in Elderly Patients","Aoki, Yasuchika",2012,Pain Research and Treatment,https://doi.org/10.1155/2012/680496,OBS
13,Facet joint syndrome: from diagnosis to interventional management,"Perolat, Romain",2018,Insights into Imaging,https://doi.org/10.1007/s13244-018-0638-x,SRMA
14,Does Movement Change When Low Back Pain Changes? A Systematic Review,"Wernli, Kevin",2020,Journal of Orthopaedic and Sports Physical Therapy,https://www.jospt.org/doi/10.2519/jospt.2020.9635,SRMA
